type,name,alt,lat,lon
MITSOS,BIKF,0,63.98161213,-22.61456272000001
NDB,PA,34000,65.55583332999998,-23.953055559999996
foo,6600N02500W,34000,66,-25
LATLON,6800N03000W,34000,68,-30
LATLON,7000N03500W,34000,70,-35
LATLON,7100N04000W,34000,71,-40
LATLON,7200N04500W,34000,72,-45
LATLON,7300N05000W,34000,73,-50
NDB,UP,34000,72.792611,-56.146018999999995
FIX,TOMAS,34000,73.73333300000002,-58.58333300000001
VOR,THT,34000,76.542419,-68.239219
FIX,DOGGY,34000,76.35,-75.833333
LATLON,7600N08000W,34000,76,-80
LATLON,7600N08500W,34000,76,-85
LATLON,7600N09000W,34000,76,-90
LATLON,7600N09500W,34000,76,-95
LATLON,7600N10000W,34000,76,-100
LATLON,7600N10500W,34000,76,-105
LATLON,7500N11000W,34000,75,-110
LATLON,7400N11500W,34000,74,-115
LATLON,7300N12000W,34000,73,-120
LATLON,7200N12500W,34000,72,-125
NDB,YSY,34000,71.99144444000001,-125.31436111
NDB,UB,34000,69.43444399999998,-133.017222
NDB,EV,34000,68.32611111,-133.59277778
NDB,YOC,34000,67.57111111,-139.84638889
NDB,FTO,34000,66.58002778,-145.21275
DME,FYU,34000,66.57426666999999,-145.27666944
FIX,ULUHA,34000,66.38045299999999,-145.598136
FIX,BIJOU,34000,66.227742,-145.847367
FIX,BURMA,34000,66.018847,-146.182372
FIX,CHATA,34000,65.22509400000001,-147.396783
VOR,FAI,34000,64.80008333,-148.01197222
FIX,GLOWS,34000,64.43774400000001,-148.254967
FIX,LIBER,34000,64.04934400000002,-148.508236
FIX,CAWIN,34000,63.28089399999999,-148.988211
FIX,SURES,34000,62.271883,-149.579208
DME,BGQ,34000,61.569455559999994,-149.96714444
VOR,ANC,34000,61.15081000000001,-150.206556
FIX,FORTU,34000,61.055341999999996,-150.38559
FIX,SWANS,34000,60.72809999999998,-150.947547
VOR,ENA,34000,60.614694439999994,-151.19525
FIX,TUCKS,34000,60.22300799999999,-152.460967
FIX,NOSKY,34000,59.57620800000001,-154.410258
FIX,SALDO,34000,58.737167,-156.778308
FIX,ZILKO,34000,57.683086,-157.909797
FIX,OBUKE,34000,57.48211700000002,-158.116953
FIX,ORUYO,34000,57.12983299999999,-158.473706
NDB,PDN,34000,56.954277779999984,-158.64755556
FIX,GECNE,34000,56.78746699999999,-158.84785
FIX,PEWUK,34000,56.675511,-158.980419
FIX,RAYMD,34000,55.59819999999999,-160.209292
LATLON,5500N16000W,35000,55,-160
LATLON,5400N16000W,34000,54,-160
LATLON,5300N16000W,34000,53,-160
LATLON,5200N16000W,34000,52,-160
LATLON,5100N16000W,34000,51,-160
LATLON,5000N16000W,34000,50,-160
LATLON,4900N16000W,34000,49,-160
LATLON,4600N16500W,34000,46,-165
LATLON,4500N16500W,34000,45,-165
LATLON,4400N16500W,34000,44,-165
LATLON,4300N16500W,34000,43,-165
LATLON,4200N16500W,34000,42,-165
LATLON,4100N16500W,34000,41,-165
LATLON,4000N16500W,34000,40,-165
LATLON,3900N16500W,34000,39,-165
LATLON,3800N16500W,34000,38,-165
LATLON,3700N16500W,34000,37,-165
LATLON,3600N16500W,34000,36,-165
LATLON,3500N16500W,34000,35,-165
LATLON,3400N16500W,34000,34,-165
LATLON,3100N17000W,34000,31,-170
LATLON,3000N17000W,34000,30,-170
LATLON,2900N17000W,34000,29,-170
LATLON,2800N17000W,34000,28,-170
LATLON,2700N17000W,34000,27,-170
FIX,29SOK,34000,26.166665999999992,-170
LATLON,2600N17000W,34000,26,-170
LATLON,2500N17000W,34000,25,-170
LATLON,2400N17000W,34000,24,-170
LATLON,2300N17000W,34000,23,-170
LATLON,2200N17000W,34000,22,-170
FIX,TAAVR,34000,21.233334,-170
LATLON,2100N17000W,34000,21,-170
LATLON,2000N17000W,34000,20,-170
LATLON,1900N17000W,34000,19,-170
LATLON,1800N17000W,34000,18,-170
LATLON,1700N17000W,34000,17,-170
LATLON,1600N17000W,34000,16,-170
FIX,NUMBY,34000,14.174999999999997,-170
FIX,AIREE,35000,11.916667000000004,-169.551667
FIX,AMBER,34000,5.700000000000003,-174.704444
LATLON,500N17500W,34000,5,-175
LATLON,400N17500W,34000,4,-175
LATLON,300N17500W,34000,3,-175
LATLON,200N17500W,34000,2,-175
LATLON,100N17500W,34000,1,-175
LATLON,000N17500W,34000,0,-175
LATLON,100S17500W,34000,-1,-175
LATLON,200S17500W,34000,-2,-175
LATLON,300S17500W,34000,-3,-175
LATLON,400S17500W,34000,-4,-175
FIX,CUFFY,35000,-5,-174.651667
FIX,IDEMU,34000,-10,-177.696667
FIX,LANIS,34000,-15,179.14499999999998
FIX,BIDAN,34000,-16.586667000000006,178.73333300000002
VOR,NA,34000,-18.04222222,178.56333332999998
FIX,ISTOS,34000,-19.028333000000003,178.39666699999998
FIX,EGATO,34000,-25,177.332722
FIX,ATLUR,34000,-30,176.358222
FIX,AGREX,34000,-33.725111,175.56436099999996
VOR,AA,200,-37.00463889,174.81363889
APT,NZAA,0,-37.010794,174.787331
